Month,Year,Consumer Confidence Index TX,Consumer Confidence West South Central,Consumer Confidence Index US,PCE Deflator,Consumer Price Index TX,Consumer Price Index U.S.,CPI U.S. Ex Food and Energy,Nonfarm Employment TX,Nonfarm Employment U.S.,Unemployment TX,Unemployment U.S.,Single Family Building Permits TX,Multi Family Building Permits TX,Existing Single Family Home Sales TX,Existing Single Family Home Price TX,Non Residential Building Construction,Total Sales Tax Collections Retail TX,Total Sales Tax Collections TX,Retail Gasoline Price TX,Retail Diesel Price TX,Nonfarm Employment Illinois,Nonfarm Employment Florida,Nonfarm Employment New York,Nonfarm Employment Texas,Nonfarm Employment California,Gross Value Crude Oil Production,Gross Value Natural Gas Production,Motor Fuel Taxed Gasoline,Motor Fuel Taxed Diesel
1,2005,,,,,,,,,,,,,,,,,,,1.773,1.906,5829.6,7650.2,8490.6,9642.4,14881.8,,,,
2,2005,,,,,,,,,,,,,,,,,,,1.841,1.958,5836.2,7670.7,8487.9,9653.2,14908.3,,,,
3,2005,,,,,,,,,,,,,,,,,,,2.008,2.148,5833.8,7668.7,8483.6,9670.8,14929.3,,,,
4,2005,,,,,,,,,,,,,,,,,,,2.169,2.226,5857.5,7716.4,8518.6,9715.1,14979.4,,,,
5,2005,,,,,,,,,,,,,,,,,,,2.088,2.15,5855.4,7753,8509.9,9727.1,14985.4,,,,
6,2005,,,,,,,,,,,,,,,,,,,2.101,2.256,5841,7761.6,8515.9,9734,15000.9,,,,
7,2005,,,,,,,,,,,,,,,,,,,2.227,2.314,5874.9,7813,8533.1,9796.7,15066.5,,,,
8,2005,,,,,,,,,,,,,,,,,,,2.446,2.421,5879.7,7839.5,8544,9812.5,15097.6,,,,
9,2005,,,,,,,,,,,,,,,,,,,2.843,2.766,5884.4,7874.1,8552,9841.1,15136.4,,,,
10,2005,,,,,,,,,,,,,,,,,,,2.72,3.107,5880,7873.4,8526.8,9853.4,15148,,,,
11,2005,,,,,,,,,,,,,,,,,,,2.205,2.553,5887.8,7880.5,8544.4,9903.2,15189.3,,,,
12,2005,,,,,,,,,,,,,,,,,,,2.161,2.424,5889.2,7903.5,8560.6,9925.6,15214.7,,,,
1,2006,,,,,,,,,,,,,,,,,,,2.289,2.434,5901.5,7913.2,8561,9963.1,15214.6,,,,
2,2006,,,,,,,,,,,,,,,,,,,2.215,2.445,5914.7,7924.9,8562.4,9982.1,15248.9,,,,
3,2006,,,,,,,,,,,,,,,,,,,2.393,2.519,5921.3,7952.1,8579.5,10017.9,15259,,,,
4,2006,,,,,,,,,,,,,,,,,,,2.774,2.681,5921.1,7958.9,8588.3,10031.9,15270.6,,,,
5,2006,,,,,,,,,,,,,,,,,,,2.86,2.815,5920.7,7977.2,8592,10058.2,15311.7,,,,
6,2006,,,,,,,,,,,,,,,,,,,2.825,2.834,5938.3,7993.7,8601,10087.1,15342.9,,,,
7,2006,,,,,,,,,,,,,,,,,,,2.906,2.88,5935.8,7997.4,8600,10092.2,15345.3,,,,
8,2006,,,,,,,,,,,,,,,,,,,2.868,2.952,5944.5,8017.5,8603.9,10137.6,15374,,,,
9,2006,,,,,,,,,,,,,,,,,722.09,1513.37,2.443,2.701,5945.9,8023,8616.4,10172.8,15385.5,,,,
10,2006,,,,,,,,,,,,,,,,,764.03,1597.47,2.149,2.467,5937.9,8017.3,8626.3,10184.7,15379.8,,,,
11,2006,,,,,,,,,,,,,,,,,851.52,1739.42,2.137,2.47,5941.5,8021.2,8644.3,10214,15383,,,,
12,2006,,,,,,,,,,,,,,,,,909.4,1687.59,2.231,2.528,5951.2,8031.8,8666.6,10248.9,15392.9,,,,
1,2007,,127.6,110.2,95.689,184.549,202.416,208.009,10.268,137.477,4.5,4.6,9413,4008,17379,136964,1305.04,874.02,1743.6,2.143,2.412,5966.3,8044,8686.2,10266.6,15408.6,1433.71,3731.72,982.7,307.1
2,2007,,130,111.2,96.005,185.37,203.499,209.112,10.306,137.558,4.4,4.5,10308,5413,20448,139508,1799.86,786.32,1632.24,2.16,2.417,5956.6,8045.3,8686,10304,15434.1,1455.88,3097.03,942.0,305.6
3,2007,,129.8,108.2,96.34,186.417,205.352,209.923,10.345,137.793,4.4,4.4,12441,3974,26279,143323,1634.04,779.72,1569.57,2.434,2.629,5976.5,8054.7,8696.6,10345.6,15469,1668.14,3367.99,898.2,311.0
4,2007,,127.8,106.3,96.527,187.804,206.686,210.311,10.37,137.842,4.3,4.5,11084,2438,25294,144986,1819.68,840.92,1720.74,2.761,2.801,5974.7,8038.1,8686.8,10372.5,15425.2,1703.75,3875.43,987.9,376.7
5,2007,,132.9,108.5,96.798,188.557,207.949,210.316,10.396,137.993,4.3,4.4,11531,4926,29497,147725,1451.1,860.59,1793.19,3.016,2.745,5982.9,8031.4,8705.9,10397.7,15444,1712.18,3782.04,1003.1,253.6
6,2007,,125.1,105.3,96.997,189.031,208.352,210.474,10.433,138.069,4.3,4.6,10260,6117,29714,153398,2297.61,794.8,1629.43,2.973,2.756,5986,8025,8721.1,10433.2,15462.1,1730.19,4222.67,1022.8,333.5
7,2007,,131.5,111.9,97.141,189.21,208.299,210.756,10.452,138.038,4.3,4.7,9987,5841,28516,150659,1368.78,804.44,1678.01,2.897,2.799,5983.6,7996.4,8722.8,10453.6,15506,2036.21,4194.30,998.2,332.9
8,2007,,118.9,105.6,97.225,189.154,207.917,211.111,10.469,138.015,4.3,4.6,9642,5476,28874,151148,1813.71,891.82,1848.54,2.739,2.803,5978.9,7984.5,8721.3,10469.2,15485.7,2007.83,3953.61,994.1,327.0
9,2007,,121,99.5,97.601,189.589,208.49,211.628,10.49,138.095,4.4,4.7,7575,3534,20488,145475,1582.8,786.17,1634.21,2.72,2.894,5977.3,7967,8722.1,10492.6,15485.4,2119.77,3609.24,1041.9,367.9
10,2007,,127.7,95.2,97.883,190.289,208.936,212.318,10.522,138.174,4.4,4.7,7960,4496,21132,142247,1900.6,792.85,1648.6,2.726,2.984,5976.4,7947,8748.9,10520.4,15467,2427.43,3396.69,958.8,322.3
11,2007,,122.56,87.8,98.373,191.025,210.177,212.435,10.545,138.284,4.4,4.7,6516,5064,19847,143518,1307.3,945.93,1905.15,2.986,3.313,5981.2,7940.4,8760,10542.7,15475,2566.51,4035.04,1025.7,371.5
12,2007,,119.5,90.6,98.638,191.509,210.036,212.356,10.567,138.392,4.4,5,5661,5416,19310,146159,1223.73,971.66,1814.63,2.925,3.279,5981.9,7931.1,8768.3,10565,15481.4,2480.04,4322.36,965.8,342.4
1,2008,,125.3,87.3,98.894,192.125,211.08,213.138,10.599,138.403,4.3,5,6376,6744,15023,137649,8977.85,892.11,1854.64,2.969,3.256,5991,7901,8790.8,10598.2,15430.5,2640.10,4567.82,985.8,313.7
2,2008,,106.28,76.4,99.11,192.618,211.693,213.866,10.631,138.324,4.3,4.9,7154,3279,18552,141366,1891.66,855.46,1821.49,2.967,3.341,5985.4,7893.9,8791.9,10629.6,15442.1,2534.70,4649.66,954.2,343.2
3,2008,,97.48,65.9,99.416,193.904,213.528,214.866,10.619,138.275,4.3,5.1,7569,5264,21359,145572,1905.7,812.18,1637.13,3.195,3.831,5977.9,7862.9,8790.7,10619.5,15425.4,2952.04,4784.87,940.6,324.1
4,2008,,91.28,62.8,99.654,194.298,214.823,215.059,10.642,138.035,4.4,5,8489,4453,22593,145572,1671.04,800.75,1670.43,3.415,4.021,5977.4,7810.1,8805.5,10643.5,15433.2,3148.31,5734.89,1010.4,281.1
5,2008,,82.64,58.1,100.091,196.371,216.632,215.18,10.652,137.858,4.5,5.4,7577,3978,24980,149290,1890.82,894.38,1872.21,3.712,4.367,5972.9,7776.6,8803.4,10653.5,15397.2,3570.03,5901.94,975.8,343.1
6,2008,,82.76,51,100.786,198.982,218.815,215.553,10.661,137.687,4.7,5.6,7619,3070,25324,153300,2391.87,853.66,1785.92,3.961,4.637,5966.6,7743.5,8801.9,10660,15375.4,3707.99,7042.02,1018.3,331.5
7,2008,,80.04,51.9,101.218,200.498,219.964,216.045,10.673,137.491,4.8,5.8,7347,4712,24599,151540,1856.22,828.6,1842.26,3.978,4.676,5961.4,7705.1,8811.9,10674.6,15347.2,3878.40,7402.11,954.0,321.3
8,2008,,92.78,58.5,101.135,199.156,219.086,216.476,10.678,137.213,5,6.1,6315,5585,23411,150170,2205.32,907.93,2017.88,3.681,4.251,5951.9,7671.2,8801,10678.9,15292,3364.07,5956.22,982.3,342.5
9,2008,,93.02,61.4,101.236,199.17,218.783,216.862,10.649,136.753,5.2,6.1,4859,4551,18552,143714,2330.72,778,1674.98,3.647,3.989,5932.3,7637.6,8779.4,10650.8,15264,2809.50,4551.51,1054.7,248.6
10,2008,,76.98,38.8,100.684,197.472,216.573,217.023,10.66,136.272,5.4,6.5,5038,3077,17476,141171,1626.93,747.36,1738.57,2.905,3.537,5910.7,7580,8752,10659.6,15164,2226.67,4181.09,852.3,377.9
11,2008,,64.96,44.7,99.545,193.765,212.425,216.69,10.65,135.545,5.6,6.8,3283,1579,13215,136182,2097.34,949.9,1959.87,2.023,2.818,5881.2,7533.1,8725.9,10648.3,15064.7,1609.41,3359.55,1018.0,343.5
12,2008,,65.9,38.6,99.007,191.956,210.228,216.1,10.621,134.839,5.9,7.3,3220,2351,16582,139508,1800.27,985.83,1910.18,1.637,2.394,5847.1,7489.5,8696.5,10619.1,14985,1107.32,3615.25,963.2,283.5
1,2009,,64.4,37.4,99.068,192.681,211.143,216.719,10.563,134.055,6.1,7.8,3769,2784,11121,130899,1435.46,867.81,1896.14,1.697,2.225,5799.2,7415.1,8653,10563.8,14851.9,1081.41,3339.76,1023.2,294.7
2,2009,,50.7,25.3,99.284,193.791,212.193,217.685,10.5,133.312,6.3,8.3,4207,1883,13847,137160,1414.99,854.73,1651.66,1.845,2.138,5764.2,7363,8630.7,10500.6,14726,898.88,2273.82,965.3,291.5
3,2009,,46.4,26.9,99.193,194.234,212.709,218.639,10.439,132.512,6.4,8.7,5189,1573,17345,138529,996.985,777.92,1719.42,1.894,2.057,5722.4,7312.8,8592.9,10438.7,14633,1269.21,2265.11,916.6,281.8
4,2009,,71,40.8,99.34,195.12,213.24,219.143,10.374,131.817,6.5,9,5378,2095,17733,141757,1432.74,788.25,1650.39,2.011,2.192,5675.4,7271.3,8520.6,10374.3,14537.3,1357.13,2138.89,1019.0,305.7
5,2009,,73.5,54.8,99.474,194.78,213.856,219.128,10.35,131.475,7.5,9.4,5498,1253,19790,148018,1948.42,889.73,1786.24,2.205,2.201,5663,7250.3,8533.6,10351,14493.7,1620.74,2157.24,989.9,289.8
6,2009,,75.1,49.3,100.067,196.674,215.693,219.283,10.322,131.008,8,9.5,6680,1399,22693,153692,1703.78,811.24,1561.27,2.535,2.498,5641,7224.8,8519.4,10321.3,14432,1877.98,2272.97,1026.2,291.9
7,2009,,71,47.4,100.02,196.342,215.351,219.35,10.289,130.668,8.2,9.5,6930,541,23335,151931,1811.02,757.89,1640.39,2.422,2.494,5620.4,7199.5,8553.5,10291,14320.8,1773.91,2353.45,1013.6,293.2
8,2009,,75,54.5,100.288,196.4,215.834,219.596,10.267,130.485,8.3,9.6,6057,1314,20634,148703,1262.55,885.02,1765.01,2.545,2.588,5607.7,7175.8,8540.2,10267.4,14279.7,1966.85,2259.07,1025.9,297.6
9,2009,,82.5,53.4,100.454,196.804,215.969,220.137,10.258,130.244,8.3,9.8,5549,1603,19374,146355,1601.85,731.71,1463.12,2.416,2.549,5600.1,7157,8493,10259,14230.5,1873.04,1875.41,1021.0,292.0
10,2009,,72.9,48.7,100.764,196.802,216.177,220.731,10.253,130.045,8.3,10,4926,200,20272,141660,1794.31,717.98,1517.21,2.446,2.608,5590.4,7145.6,8477.1,10253.2,14265.8,2129.31,2462.08,961.1,281.8
11,2009,,64.9,50.6,100.997,196.851,216.33,220.384,10.254,130.057,8.3,9.9,4473,1090,18710,141268,1111.54,890.19,1532.88,2.561,2.738,5591.6,7147.9,8480.8,10253.3,14252.2,2148.25,2690.11,991.0,288.4
12,2009,,72.1,53.6,101.052,196.267,215.949,220.025,10.249,129.788,8.3,9.9,5057,989,16914,143225,1078.58,920.22,1823.94,2.517,2.699,5580.6,7132.2,8480,10249.6,14233.7,2079.93,3067.10,963.3,267.4
1,2010,,72.3,56.5,101.234,196.846,216.687,220.086,10.278,129.79,8.3,9.8,4893,1115,10797,135888,1387.42,816.98,1646.75,2.622,2.807,5581.6,7129.3,8487.1,10278.3,14203,2202.61,3715.74,992.8,287.6
2,2010,,74.1,46.4,101.248,197.284,216.741,220.602,10.279,129.698,8.3,9.8,5782,411,13781,139997,798.477,804.19,1613.05,2.549,2.746,5586.3,7131.9,8490,10278.8,14187.2,1979.19,3177.12,945.5,289.6
3,2010,,74.9,52.3,101.363,197.592,217.631,221.059,10.31,129.879,8.3,9.9,7837,1596,20465,142833,1035.91,757.34,1450.02,2.693,2.878,5585.9,7137.5,8507.6,10309.8,14189.9,2403.72,3138.79,913.6,273.8
4,2010,,70.7,57.7,101.349,198.185,218.009,221.166,10.332,130.11,8.2,9.9,6557,1659,22893,145475,1406.92,823.04,1690.56,2.788,3.018,5598,7157.7,8538.3,10331.4,14286.3,2440.12,2643.92,1032.9,327.8
5,2010,,76.48,62.66,101.392,198.148,218.178,221.193,10.391,130.65,8.2,9.6,5726,1533,23812,146844,1425.06,905.42,1782.16,2.796,3.025,5618.8,7201.5,8577.9,10391.8,14331.2,2181.01,2852.79,1002.8,315.8
6,2010,,66.4,54.3,101.447,198.322,217.965,221.265,10.393,130.511,8.1,9.4,5977,1826,22864,150953,1374.08,802.14,1591.24,2.657,2.894,5609.8,7188.9,8565,10392.4,14316.9,2084.43,2732.36,1060.4,313.5
7,2010,,66,51,101.569,197.501,218.011,221.258,10.38,130.427,8.1,9.4,5007,2130,17336,153007,1020.71,816.02,1694.51,2.628,2.864,5588.7,7191.1,8557.8,10380,14287.9,2236.90,3027.87,1028.3,319.0
8,2010,,68.6,53.2,101.713,197.834,218.312,221.551,10.395,130.422,8.1,9.5,5217,1956,17831,151735,1103.53,847.7,1757.82,2.636,2.914,5615.9,7191.5,8537.3,10395.7,14284.3,2322.32,3019.76,1034.2,311.4
9,2010,,68,48.6,101.807,198.581,218.439,221.907,10.398,130.357,8.1,9.5,4257,2215,16050,145572,2795.36,769.55,1569.14,2.594,2.884,5617.8,7172.1,8537.8,10397.7,14274.1,2250.62,2543.59,1053.6,310.2
10,2010,,71.8,49.9,102.045,198.614,218.711,222.079,10.447,130.625,8.2,9.4,3728,1025,14990,143518,918.641,765.74,1635.95,2.699,2.967,5635.6,7201.8,8570,10448.4,14332.4,2555.35,2736.33,1001.6,318.5
11,2010,,82.1,57.8,102.211,198.172,218.803,222.077,10.454,130.75,8.2,9.8,4017,2204,14398,145083,600.872,931.78,1851.15,2.726,3.055,5638.9,7196.7,8581.9,10454.1,14334.1,2604.86,2523.01,1031.7,322.2
12,2010,,81.1,63.4,102.455,197.996,219.179,221.795,10.476,130.822,8.2,9.3,4193,1348,16423,149485,2343.29,966.97,1812.54,2.885,3.176,5642.3,7201,8587.4,10477.3,14350,2923.62,3128.90,1044.4,308.8
1,2011,,74.4,64.8,102.685,199.302,220.223,222.177,10.492,130.841,8.2,9.1,4215,928,11385,138000,997.715,862.51,1821.34,2.995,3.339,5645.7,7215.4,8647,10490.6,14359.1,2972.84,3065.63,962.7,314.8
2,2011,,80.8,72,102.966,200.713,221.309,223.011,10.492,131.053,8.2,9,4237,2248,12687,144900,965.892,846.43,1759.25,3.105,3.531,5648.8,7211.8,8649.5,10491.9,14374.8,2493.72,2700.34,965.0,304.3
3,2011,,61.1,63.8,103.356,203.057,223.467,223.69,10.535,131.288,8.1,9,6355,2044,18351,143000,1308.97,808.45,1615.36,3.486,3.838,5657.5,7218,8657.4,10533.3,14371,3473.44,3056.62,884.4,284.7
4,2011,,69.506,66,103.808,204.962,224.906,224.118,10.573,131.602,8.1,9.1,5688,2578,18819,145000,1614.94,868.34,1881.58,3.746,3.991,5673.1,7249,8681.2,10572.1,14399.4,3692.14,3266.78,1039.3,336.7
5,2011,,78.548,61.7,104.144,205.683,225.964,224.534,10.58,131.703,8.2,9,5679,1256,20322,149500,1225.36,947,1964.21,3.839,3.979,5667.6,7242.7,8666.1,10580.2,14403.8,3639.07,3500.83,1006.6,321.3
6,2011,,75.5,57.6,104.179,204.94,225.722,224.891,10.603,131.939,8.3,9.1,5910,3532,22706,152000,1720.03,835.97,1728.04,3.601,3.876,5668.1,7235.1,8674.9,10603,14397.4,3418.22,3364.03,1026.9,322.7
7,2011,,78.9,59.2,104.38,205.045,225.922,225.164,10.633,131.999,8.3,9,5149,3206,20238,151000,976.347,844.69,1852.05,3.597,3.862,5682.5,7259.7,8690,10633.9,14441.9,3617.08,3565.15,1013.5,335.5
8,2011,,71.6,45.2,104.618,205.811,226.545,225.874,10.653,132.125,8.2,9,5976,4362,21976,151000,1716.13,929.85,1972.4,3.586,3.823,5692.1,7265,8691.2,10653,14454.9,3331.56,3478.13,1016.9,306.2
9,2011,,69.3,46.4,104.787,206.004,226.889,226.289,10.675,132.358,8,9,5185,1830,18534,147500,937.64,811.35,1778.6,3.474,3.771,5697.6,7284.1,8717.3,10674.3,14483,3323.95,3239.87,1037.0,341.6
10,2011,,50.4,40.9,104.851,205.111,226.421,226.743,10.667,132.562,7.8,8.8,4744,3477,16377,145000,870.337,815.56,1863.51,3.323,3.725,5696.1,7284.3,8717.1,10668.4,14492.9,3606.69,3265.77,988.5,327.3
